N°,Dirección,X,Y,Descripcion
0,Vallecito de Huancaro A8,-13.53404897,-71.97200512,Sede del negocio
1," Av. El Sol 210, Cusco",-13.51833003,-71.97837975,
2,"Calle Ayacucho 175, Cusco",-13.51965694,-71.9781876,
3,"Av. Tullumayo 135, Wanchaq",-13.52144952,-71.97254068,
4,"Av. De la Cultura 762, Wanchaq",-13.52218761,-71.96327633,
5,"Av. Manco Capac 101-105, San Jeronimo (Cusco)",-13.5237297,-71.9688553,
6,"Av. Prolongacion de la Cultura 5772, San Sebastian",-13.53366217,-71.91089655,
7,"Av. El Sol 1102, Cusco",-13.5247657,-71.97286909,
8,"Portal Mantas 130, Cusco",-13.51726569,-71.97925213,
9,"Av. De la Cultura 3155, Cusco",-13.53281866,-71.9127098,
10,"Av. Garcilaso 502-504, Wanchaq",-13.5227714,-71.96969,
11,"Av. De la Cultura, LT A, Cusco",-13.51781627,-71.98359462,
12,"Av. La Cultura S/N, Cusco",-13.51856103,-71.96026529,
13,"Calle Tres Cruces de Oro 501-509, Cusco",-13.52366887,-71.97886659,
14,"Av. De la Cultura 1210, Wanchaq",-13.52405133,-71.9573677,
15,"Calle Tres Cruces de Oro 224, Cusco",-13.5223865,-71.9818256,
16,"Calle Los Sauces LT 105-141, Wanchaq",-13.53032109,-71.95845368,
17,"Jr. La Union, MZ G-2 LT 8-B, Wanchaq",-13.51672506,-71.95700372,
18,"Calle Cascaparo 116, Cusco",-13.52074643,-71.98294605,
19,"Calle Belen 592, Cusco",-13.52300966,-71.98000902,
20,"Calle San Andres 300, Cusco",-13.51975019,-71.9782583,
21,"Av. Garcilazo 709, Wanchaq",-13.52252936,-71.9687697,
22,"Jr. Union MZ B-2 LT 4, Wanchaq",-13.52253814,-71.94251907,
23,"Av. La Cultura 1212, Wanchaq",-13.52409763,-71.95728195,
24,"Av. El Sol 130, Cusco",-13.51783136,-71.97864919,
25,"Calle Ayacucho 226, Cusco",-13.51991293,-71.9785102,
26,"Av. De la Cultura 1214, Wanchaq",-13.52416143,-71.95708825,
27,"Calle Ayacucho 220, Cusco",-13.5203711,-71.97859771,
28,"Calle Matara S/N, Cusco",-13.51787027,-71.98551781,
29,"Av. De la Cultura 1302, Wanchaq",-13.52421929,-71.95223453,
30,"Plaza San Francisco 375, Cusco",-13.51928971,-71.98126636,
31,"Av. La Cultura 760, Wanchaq",-13.5217511,-71.96281825,
32,"Urb. Marcavalle, Wanchaq",-13.53083672,-71.96394477,
33,"Urb. Manuel Prado, MZ N, Cusco",-13.52853144,-71.96393405,
34,"Av. De la Cultura 1731, San Sebastian",-13.52985939,-71.93240946,
35,"Calle Plazoleta Santiago 1068, Santiago (Cusco)",-13.52485352,-71.98358716,
36,"Av. De la Cultura 2128, Wanchaq",-13.52682487,-71.94835835,
37,"Av. Collasuyo 2964, Cusco",-13.52225011,-71.9478068,
38,"Av. De la Cultura 904, Wanchaq",-13.52271723,-71.96147843,
39,"Av. Limacpampa 101-102, Cusco",-13.51943532,-71.97354776,
40,"Av. Garcilazo 416, Wanchaq",-13.52264033,-71.9702731,
41," Jr. La Union, MZ G-2 LT 3, Wanchaq",-13.52687544,-71.9684492,
42,"Av. El Sol 319, Cusco",-13.52627043,-71.97443589,
43,"Calle Mantas 132, Cusco",-13.51755519,-71.97917626,
44,"Av. De la Cultura 2840, San Sebastian",-13.53283952,-71.91312823,
45,"Av. Manco Capac 4, San Jeronimo (Cusco)",-13.52401135,-71.96900551,
46,"Av. Anselmo Alvarez 207, Wanchaq",-13.52355709,-71.96078053,
47,"Calle Clorinda Matto de Turner, San Jeronimo (Cusco)",-13.54394736,-71.88702709,
48,"A.P.V. Santa Anita MZ A Lote 3, Santiago (Cusco)",-13.54208029,-71.8900097,
49,"Av. Garcilazo 416, Wanchaq",-13.52262989,-71.97028383,
50,"Jr. La Union, MZ G2 / LT 03, Wanchaq",-13.52165977,-71.97426423,
51,"Av. El Sol 319, Cusco",-13.519213,-71.97721329,
52,"Calle Mantas 132, Cusco",-13.51760735,-71.97916553,
53,"Av. de la Cultura 2840, San Sebastián",-13.51270443,-71.96321175,
54,"Av. Manco Capac 4, San Jeronimo (Cusco)",-13.51543756,-71.96267531,
55,"Av. Anselmo Álvarez 207, Wanchaq",-13.51890087,-71.96290062,
